,question_id,question_category,question_text,fac_pct_pos,fac_percentile,group_pct_pos,group_percentile,num_respondents,survey_name,survey_date,location,work_setting,position,report_type,benchmark_date,group_fac_pct_pos_diff
229,q4,Burnout Climate,People in this work setting are burned out from their work.,19.0,12.0,19.0,12.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
230,q5,Personal Burnout,I feel burned out from my work.,32.0,4.0,32.0,4.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
231,q6,Emotional Thriving,I have a chance to use my strengths every day at work.,75.0,,75.0,,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
232,q7,Teamwork,"In this work setting, it is difficult to speak up if I perceive a problem with patient care.",68.0,68.0,68.0,68.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
233,q8,Teamwork,Dealing with difficult colleagues is consistently a challenging part of my job.,53.0,78.0,53.0,78.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
234,q9,Teamwork,Communication breakdowns are common when this work setting interacts with other work settings.,46.0,85.0,46.0,85.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
235,q10,Safety Climate,I would feel safe being treated here as a patient.,81.0,83.0,81.0,83.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
236,q11,Safety Climate,"In this work setting, it is difficult to discuss errors.",65.0,76.0,65.0,76.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
237,q12,Safety Climate,The values of facility leadership are the same values that people in this work setting think are important.,57.0,59.0,57.0,59.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
238,q13,Growth Opportunities,"With respect to the growth opportunities in this work setting, I have the feeling that I can achieve something.",66.0,23.0,66.0,23.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
239,q14,Job Certainty,"With respect to job-related uncertainty about the future in this work setting, I feel certain that I will keep my current job in the next year.",81.0,87.0,81.0,87.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
240,q15,Decision Making,With respect to the participation in decision making that I experience here I have a direct influence on my organization's decisions.,40.0,79.0,40.0,79.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
241,q16,Advancement,With respect to advancement in this organization I have opportunities to advance through training courses.,62.0,99.0,62.0,99.0,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
242,q17,Physical Safety,I feel safe from crime or violence in my (daily) workspace.,75.0,,75.0,,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
243,q18,GME Questions,Faculty in my program participates in educational conferences.,69.0,,69.0,,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
244,q19,GME Questions,I feel comfortable speaking up if I am feeling tired while on duty.,25.0,,25.0,,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
245,q20,GME Questions,My Program Director is an effective leader.,64.0,,64.0,,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
246,q21,GME Questions,I am satisfied with the mentoring I receive.,51.0,,51.0,,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
247,q22,GME Questions,The curriculum is of high educational value.,66.0,,66.0,,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
248,q23,GME Questions,Faculty in my program are effective teachers.,76.0,,76.0,,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
249,q24,GME Questions,I am satisfied with the feedback I have received.,46.0,,46.0,,1473.0,score,20201201,PPMC,all,all,summary,20200901,0.0
275,q0,Improvement Readiness,"In this work setting, the learning environment effectively fixes defects to improve the quality of what we do.",68.0,56.0,84.0,99.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,16.0
276,q1,Improvement Readiness,"In this work setting, the learning environment allows us to pause and reflect on what we do well.",65.0,43.0,81.0,99.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,16.0
277,q2,Local Leadership,"In this work setting, local management regularly makes time to provide positive feedback to me about how I am doing.",65.0,54.0,83.0,99.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,18.0
278,q3,Local Leadership,"In this work setting, local management regularly makes time to pause and reflect with me about my work.",61.0,49.0,82.0,99.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,21.0
279,q4,Burnout Climate,People in this work setting are burned out from their work.,19.0,12.0,28.0,23.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,9.0
280,q5,Personal Burnout,I feel burned out from my work.,32.0,4.0,43.0,13.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,11.0
281,q6,Emotional Thriving,I have a chance to use my strengths every day at work.,75.0,,79.0,,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,4.0
282,q7,Teamwork,"In this work setting, it is difficult to speak up if I perceive a problem with patient care.",68.0,68.0,81.0,99.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,13.0
283,q8,Teamwork,Dealing with difficult colleagues is consistently a challenging part of my job.,53.0,78.0,59.0,92.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,6.0
284,q9,Teamwork,Communication breakdowns are common when this work setting interacts with other work settings.,46.0,85.0,54.0,97.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,8.0
285,q10,Safety Climate,I would feel safe being treated here as a patient.,81.0,83.0,94.0,99.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,13.0
286,q11,Safety Climate,"In this work setting, it is difficult to discuss errors.",65.0,76.0,78.0,99.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,13.0
287,q12,Safety Climate,The values of facility leadership are the same values that people in this work setting think are important.,57.0,59.0,71.0,99.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,14.0
288,q13,Growth Opportunities,"With respect to the growth opportunities in this work setting, I have the feeling that I can achieve something.",66.0,23.0,79.0,92.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,13.0
289,q14,Job Certainty,"With respect to job-related uncertainty about the future in this work setting, I feel certain that I will keep my current job in the next year.",81.0,87.0,80.0,85.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,-1.0
290,q15,Decision Making,With respect to the participation in decision making that I experience here I have a direct influence on my organization's decisions.,40.0,79.0,65.0,99.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,25.0
291,q16,Advancement,With respect to advancement in this organization I have opportunities to advance through training courses.,62.0,99.0,64.0,99.0,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,2.0
292,q17,Physical Safety,I feel safe from crime or violence in my (daily) workspace.,75.0,,85.0,,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,10.0
293,q18,GME Questions,Faculty in my program participates in educational conferences.,69.0,,,,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,
294,q19,GME Questions,I feel comfortable speaking up if I am feeling tired while on duty.,25.0,,,,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,
295,q20,GME Questions,My Program Director is an effective leader.,64.0,,,,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,
296,q21,GME Questions,I am satisfied with the mentoring I receive.,51.0,,,,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,
297,q22,GME Questions,The curriculum is of high educational value.,66.0,,,,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,
298,q23,GME Questions,Faculty in my program are effective teachers.,76.0,,,,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,
299,q24,GME Questions,I am satisfied with the feedback I have received.,46.0,,,,80.0,score,20201201,PPMC,all,other-manager-clinic-manager-supervisor,summary,20200901,
400,q0,Improvement Readiness,"In this work setting, the learning environment effectively fixes defects to improve the quality of what we do.",68.0,56.0,74.0,89.0,68.0,score,20201201,PPMC,all,other,summary,20200901,6.0
401,q1,Improvement Readiness,"In this work setting, the learning environment allows us to pause and reflect on what we do well.",65.0,43.0,64.0,41.0,68.0,score,20201201,PPMC,all,other,summary,20200901,-1.0
402,q2,Local Leadership,"In this work setting, local management regularly makes time to provide positive feedback to me about how I am doing.",65.0,54.0,69.0,68.0,68.0,score,20201201,PPMC,all,other,summary,20200901,4.0
403,q3,Local Leadership,"In this work setting, local management regularly makes time to pause and reflect with me about my work.",61.0,49.0,65.0,67.0,68.0,score,20201201,PPMC,all,other,summary,20200901,4.0
404,q4,Burnout Climate,People in this work setting are burned out from their work.,19.0,12.0,20.0,12.0,68.0,score,20201201,PPMC,all,other,summary,20200901,1.0
405,q5,Personal Burnout,I feel burned out from my work.,32.0,4.0,35.0,4.0,68.0,score,20201201,PPMC,all,other,summary,20200901,3.0
406,q6,Emotional Thriving,I have a chance to use my strengths every day at work.,75.0,,68.0,,68.0,score,20201201,PPMC,all,other,summary,20200901,-7.0
407,q7,Teamwork,"In this work setting, it is difficult to speak up if I perceive a problem with patient care.",68.0,68.0,67.0,63.0,68.0,score,20201201,PPMC,all,other,summary,20200901,-1.0
408,q8,Teamwork,Dealing with difficult colleagues is consistently a challenging part of my job.,53.0,78.0,54.0,83.0,68.0,score,20201201,PPMC,all,other,summary,20200901,1.0
409,q9,Teamwork,Communication breakdowns are common when this work setting interacts with other work settings.,46.0,85.0,42.0,74.0,68.0,score,20201201,PPMC,all,other,summary,20200901,-4.0
410,q10,Safety Climate,I would feel safe being treated here as a patient.,81.0,83.0,75.0,62.0,68.0,score,20201201,PPMC,all,other,summary,20200901,-6.0
411,q11,Safety Climate,"In this work setting, it is difficult to discuss errors.",65.0,76.0,70.0,94.0,68.0,score,20201201,PPMC,all,other,summary,20200901,5.0
412,q12,Safety Climate,The values of facility leadership are the same values that people in this work setting think are important.,57.0,59.0,58.0,64.0,68.0,score,20201201,PPMC,all,other,summary,20200901,1.0
413,q13,Growth Opportunities,"With respect to the growth opportunities in this work setting, I have the feeling that I can achieve something.",66.0,23.0,60.0,5.0,68.0,score,20201201,PPMC,all,other,summary,20200901,-6.0
414,q14,Job Certainty,"With respect to job-related uncertainty about the future in this work setting, I feel certain that I will keep my current job in the next year.",81.0,87.0,83.0,95.0,68.0,score,20201201,PPMC,all,other,summary,20200901,2.0
415,q15,Decision Making,With respect to the participation in decision making that I experience here I have a direct influence on my organization's decisions.,40.0,79.0,32.0,28.0,68.0,score,20201201,PPMC,all,other,summary,20200901,-8.0
416,q16,Advancement,With respect to advancement in this organization I have opportunities to advance through training courses.,62.0,99.0,51.0,86.0,68.0,score,20201201,PPMC,all,other,summary,20200901,-11.0
417,q17,Physical Safety,I feel safe from crime or violence in my (daily) workspace.,75.0,,68.0,,68.0,score,20201201,PPMC,all,other,summary,20200901,-7.0
418,q18,GME Questions,Faculty in my program participates in educational conferences.,69.0,,,,68.0,score,20201201,PPMC,all,other,summary,20200901,
419,q19,GME Questions,I feel comfortable speaking up if I am feeling tired while on duty.,25.0,,,,68.0,score,20201201,PPMC,all,other,summary,20200901,
420,q20,GME Questions,My Program Director is an effective leader.,64.0,,,,68.0,score,20201201,PPMC,all,other,summary,20200901,
421,q21,GME Questions,I am satisfied with the mentoring I receive.,51.0,,,,68.0,score,20201201,PPMC,all,other,summary,20200901,
422,q22,GME Questions,The curriculum is of high educational value.,66.0,,,,68.0,score,20201201,PPMC,all,other,summary,20200901,
423,q23,GME Questions,Faculty in my program are effective teachers.,76.0,,,,68.0,score,20201201,PPMC,all,other,summary,20200901,
424,q24,GME Questions,I am satisfied with the feedback I have received.,46.0,,,,68.0,score,20201201,PPMC,all,other,summary,20200901,
575,q0,Improvement Readiness,"In this work setting, the learning environment effectively fixes defects to improve the quality of what we do.",68.0,56.0,70.0,69.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,2.0
576,q1,Improvement Readiness,"In this work setting, the learning environment allows us to pause and reflect on what we do well.",65.0,43.0,66.0,51.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,1.0
577,q2,Local Leadership,"In this work setting, local management regularly makes time to provide positive feedback to me about how I am doing.",65.0,54.0,65.0,54.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,0.0
578,q3,Local Leadership,"In this work setting, local management regularly makes time to pause and reflect with me about my work.",61.0,49.0,61.0,49.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,0.0
579,q4,Burnout Climate,People in this work setting are burned out from their work.,19.0,12.0,17.0,4.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,-2.0
580,q5,Personal Burnout,I feel burned out from my work.,32.0,4.0,28.0,3.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,-4.0
581,q6,Emotional Thriving,I have a chance to use my strengths every day at work.,75.0,,78.0,,579.0,score,20201201,PPMC,all,nurse,summary,20200901,3.0
582,q7,Teamwork,"In this work setting, it is difficult to speak up if I perceive a problem with patient care.",68.0,68.0,69.0,71.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,1.0
583,q8,Teamwork,Dealing with difficult colleagues is consistently a challenging part of my job.,53.0,78.0,54.0,83.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,1.0
584,q9,Teamwork,Communication breakdowns are common when this work setting interacts with other work settings.,46.0,85.0,48.0,94.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,2.0
585,q10,Safety Climate,I would feel safe being treated here as a patient.,81.0,83.0,80.0,82.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,-1.0
586,q11,Safety Climate,"In this work setting, it is difficult to discuss errors.",65.0,76.0,64.0,74.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,-1.0
587,q12,Safety Climate,The values of facility leadership are the same values that people in this work setting think are important.,57.0,59.0,57.0,59.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,0.0
588,q13,Growth Opportunities,"With respect to the growth opportunities in this work setting, I have the feeling that I can achieve something.",66.0,23.0,71.0,50.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,5.0
589,q14,Job Certainty,"With respect to job-related uncertainty about the future in this work setting, I feel certain that I will keep my current job in the next year.",81.0,87.0,82.0,93.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,1.0
590,q15,Decision Making,With respect to the participation in decision making that I experience here I have a direct influence on my organization's decisions.,40.0,79.0,42.0,84.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,2.0
591,q16,Advancement,With respect to advancement in this organization I have opportunities to advance through training courses.,62.0,99.0,73.0,99.0,579.0,score,20201201,PPMC,all,nurse,summary,20200901,11.0
592,q17,Physical Safety,I feel safe from crime or violence in my (daily) workspace.,75.0,,68.0,,579.0,score,20201201,PPMC,all,nurse,summary,20200901,-7.0
593,q18,GME Questions,Faculty in my program participates in educational conferences.,69.0,,,,579.0,score,20201201,PPMC,all,nurse,summary,20200901,
594,q19,GME Questions,I feel comfortable speaking up if I am feeling tired while on duty.,25.0,,,,579.0,score,20201201,PPMC,all,nurse,summary,20200901,
595,q20,GME Questions,My Program Director is an effective leader.,64.0,,,,579.0,score,20201201,PPMC,all,nurse,summary,20200901,
596,q21,GME Questions,I am satisfied with the mentoring I receive.,51.0,,,,579.0,score,20201201,PPMC,all,nurse,summary,20200901,
597,q22,GME Questions,The curriculum is of high educational value.,66.0,,,,579.0,score,20201201,PPMC,all,nurse,summary,20200901,
598,q23,GME Questions,Faculty in my program are effective teachers.,76.0,,,,579.0,score,20201201,PPMC,all,nurse,summary,20200901,
599,q24,GME Questions,I am satisfied with the feedback I have received.,46.0,,,,579.0,score,20201201,PPMC,all,nurse,summary,20200901,
650,q0,Improvement Readiness,"In this work setting, the learning environment effectively fixes defects to improve the quality of what we do.",68.0,56.0,100.0,99.0,9.0,score,20201201,PPMC,all,chaplain,summary,20200901,32.0
651,q1,Improvement Readiness,"In this work setting, the learning environment allows us to pause and reflect on what we do well.",65.0,43.0,100.0,99.0,9.0,score,20201201,PPMC,all,chaplain,summary,20200901,35.0
652,q2,Local Leadership,"In this work setting, local management regularly makes time to provide positive feedback to me about how I am doing.",65.0,54.0,100.0,99.0,9.0,score,20201201,PPMC,all,chaplain,summary,20200901,35.0
653,q3,Local Leadership,"In this work setting, local management regularly makes time to pause and reflect with me about my work.",61.0,49.0,89.0,99.0,9.0,score,20201201,PPMC,all,chaplain,summary,20200901,28.0
654,q4,Burnout Climate,People in this work setting are burned out from their work.,19.0,12.0,67.0,98.0,9.0,score,20201201,PPMC,all,chaplain,summary,20200901,48.0
655,q5,Personal Burnout,I feel burned out from my work.,32.0,4.0,78.0,93.0,9.0,score,20201201,PPMC,all,chaplain,summary,20200901,46.0
656,q6,Emotional Thriving,I have a chance to use my strengths every day at work.,75.0,,89.0,,9.0,score,20201201,PPMC,all,chaplain,summary,20200901,14.0
657,q7,Teamwork,"In this work setting, it is difficult to speak up if I perceive a problem with patient care.",68.0,68.0,89.0,99.0,9.0,score,20201201,PPMC,all,chaplain,summary,20200901,21.0
658,q8,Teamwork,Dealing with difficult colleagues is consistently a challenging part of my job.,53.0,78.0,78.0,99.0,9.0,score,20201201,PPMC,all,chaplain,summary,20200901,25.0
659,q9,Teamwork,Communication breakdowns are common when this work setting interacts with other work settings.,46.0,85.0,78.0,99.0,9.0,score,20201201,PPMC,all,chaplain,summary,20200901,32.0
660,q10,Safety Climate,I would feel safe being treated here as a patient.,81.0,83.0,89.0,99.0,9.0,score,20201201,PPMC,all,chaplain,summary,20200901,8.0
661,q11,Safety Climate,"In this work setting, it is difficult to discuss errors.",65.0,76.0,78.0,99.0,9.0,score,20201201,PPMC,all,chaplain,summary,20200901,13.0
662,q12,Safety Climate,The values of facility leadership are the same values that people in this work setting think are important.,57.0,59.0,56.0,56.0,9.0,score,20201201,PPMC,all,chaplain,summary,20200901,-1.0
