,question_id,question_category,question_text,entity_pct_pos,entity_percentile,group_pct_pos,group_percentile,num_respondents,survey_name,survey_date,entity,work_setting,position,report_type,benchmark_date,group_entity_pct_pos_diff
17,q17,Physical Safety,I feel safe from crime or violence in my (daily) workspace.,75.0,,23.0,,57.0,score,20201201,PPMC,er-staff,all,summary,20200901,-52.0
18,q18,GME Questions,Faculty in my program participates in educational conferences.,69.0,,,,57.0,score,20201201,PPMC,er-staff,all,summary,20200901,
19,q19,GME Questions,I feel comfortable speaking up if I am feeling tired while on duty.,25.0,,,,57.0,score,20201201,PPMC,er-staff,all,summary,20200901,
20,q20,GME Questions,My Program Director is an effective leader.,64.0,,,,57.0,score,20201201,PPMC,er-staff,all,summary,20200901,
21,q21,GME Questions,I am satisfied with the mentoring I receive.,51.0,,,,57.0,score,20201201,PPMC,er-staff,all,summary,20200901,
22,q22,GME Questions,The curriculum is of high educational value.,66.0,,,,57.0,score,20201201,PPMC,er-staff,all,summary,20200901,
23,q23,GME Questions,Faculty in my program are effective teachers.,76.0,,,,57.0,score,20201201,PPMC,er-staff,all,summary,20200901,
24,q24,GME Questions,I am satisfied with the feedback I have received.,46.0,,,,57.0,score,20201201,PPMC,er-staff,all,summary,20200901,
1350,q00,Improvement Readiness,"In this work setting, the learning environment effectively fixes defects to improve the quality of what we do.",68.0,56.0,41.0,10.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-27.0
1351,q01,Improvement Readiness,"In this work setting, the learning environment allows us to pause and reflect on what we do well.",65.0,43.0,28.0,3.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-37.0
1352,q02,Local Leadership,"In this work setting, local management regularly makes time to provide positive feedback to me about how I am doing.",65.0,54.0,44.0,12.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-21.0
1353,q03,Local Leadership,"In this work setting, local management regularly makes time to pause and reflect with me about my work.",61.0,49.0,29.0,5.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-32.0
1354,q04,Burnout Climate,People in this work setting are burned out from their work.,19.0,12.0,0.0,99.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-19.0
1355,q05,Personal Burnout,I feel burned out from my work.,32.0,4.0,5.0,99.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-27.0
1356,q06,Emotional Thriving,I have a chance to use my strengths every day at work.,75.0,,51.0,,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-24.0
1357,q07,Teamwork,"In this work setting, it is difficult to speak up if I perceive a problem with patient care.",68.0,68.0,49.0,13.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-19.0
1358,q08,Teamwork,Dealing with difficult colleagues is consistently a challenging part of my job.,53.0,78.0,24.0,13.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-29.0
1359,q09,Teamwork,Communication breakdowns are common when this work setting interacts with other work settings.,46.0,85.0,12.0,5.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-34.0
1360,q10,Safety Climate,I would feel safe being treated here as a patient.,81.0,83.0,51.0,12.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-30.0
1361,q11,Safety Climate,"In this work setting, it is difficult to discuss errors.",65.0,76.0,37.0,8.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-28.0
1362,q12,Safety Climate,The values of facility leadership are the same values that people in this work setting think are important.,57.0,59.0,20.0,5.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-37.0
1363,q13,Growth Opportunities,"With respect to the growth opportunities in this work setting, I have the feeling that I can achieve something.",66.0,23.0,39.0,4.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-27.0
1364,q14,Job Certainty,"With respect to job-related uncertainty about the future in this work setting, I feel certain that I will keep my current job in the next year.",81.0,87.0,63.0,19.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-18.0
1365,q15,Decision Making,With respect to the participation in decision making that I experience here I have a direct influence on my organization's decisions.,40.0,79.0,12.0,8.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-28.0
1366,q16,Advancement,With respect to advancement in this organization I have opportunities to advance through training courses.,62.0,99.0,54.0,75.0,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-8.0
1367,q17,Physical Safety,I feel safe from crime or violence in my (daily) workspace.,75.0,,7.0,,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,-68.0
1368,q18,GME Questions,Faculty in my program participates in educational conferences.,69.0,,,,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,
1369,q19,GME Questions,I feel comfortable speaking up if I am feeling tired while on duty.,25.0,,,,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,
1370,q20,GME Questions,My Program Director is an effective leader.,64.0,,,,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,
1371,q21,GME Questions,I am satisfied with the mentoring I receive.,51.0,,,,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,
1372,q22,GME Questions,The curriculum is of high educational value.,66.0,,,,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,
1373,q23,GME Questions,Faculty in my program are effective teachers.,76.0,,,,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,
1374,q24,GME Questions,I am satisfied with the feedback I have received.,46.0,,,,41.0,score,20201201,PPMC,er-staff,nurse,summary,20200901,
2125,q00,Improvement Readiness,"In this work setting, the learning environment effectively fixes defects to improve the quality of what we do.",68.0,56.0,100.0,99.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,32.0
2126,q01,Improvement Readiness,"In this work setting, the learning environment allows us to pause and reflect on what we do well.",65.0,43.0,71.0,54.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,6.0
2127,q02,Local Leadership,"In this work setting, local management regularly makes time to provide positive feedback to me about how I am doing.",65.0,54.0,71.0,54.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,6.0
2128,q03,Local Leadership,"In this work setting, local management regularly makes time to pause and reflect with me about my work.",61.0,49.0,57.0,33.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,-4.0
2129,q04,Burnout Climate,People in this work setting are burned out from their work.,19.0,12.0,0.0,4.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,-19.0
2130,q05,Personal Burnout,I feel burned out from my work.,32.0,4.0,29.0,9.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,-3.0
2131,q06,Emotional Thriving,I have a chance to use my strengths every day at work.,75.0,,86.0,,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,11.0
2132,q07,Teamwork,"In this work setting, it is difficult to speak up if I perceive a problem with patient care.",68.0,68.0,86.0,87.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,18.0
2133,q08,Teamwork,Dealing with difficult colleagues is consistently a challenging part of my job.,53.0,78.0,43.0,45.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,-10.0
2134,q09,Teamwork,Communication breakdowns are common when this work setting interacts with other work settings.,46.0,85.0,14.0,6.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,-32.0
2135,q10,Safety Climate,I would feel safe being treated here as a patient.,81.0,83.0,71.0,37.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,-10.0
2136,q11,Safety Climate,"In this work setting, it is difficult to discuss errors.",65.0,76.0,86.0,90.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,21.0
2137,q12,Safety Climate,The values of facility leadership are the same values that people in this work setting think are important.,57.0,59.0,43.0,26.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,-14.0
2138,q13,Growth Opportunities,"With respect to the growth opportunities in this work setting, I have the feeling that I can achieve something.",66.0,23.0,86.0,81.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,20.0
2139,q14,Job Certainty,"With respect to job-related uncertainty about the future in this work setting, I feel certain that I will keep my current job in the next year.",81.0,87.0,100.0,99.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,19.0
2140,q15,Decision Making,With respect to the participation in decision making that I experience here I have a direct influence on my organization's decisions.,40.0,79.0,57.0,87.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,17.0
2141,q16,Advancement,With respect to advancement in this organization I have opportunities to advance through training courses.,62.0,99.0,100.0,99.0,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,38.0
2142,q17,Physical Safety,I feel safe from crime or violence in my (daily) workspace.,75.0,,71.0,,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,-4.0
2143,q18,GME Questions,Faculty in my program participates in educational conferences.,69.0,,,,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,
2144,q19,GME Questions,I feel comfortable speaking up if I am feeling tired while on duty.,25.0,,,,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,
2145,q20,GME Questions,My Program Director is an effective leader.,64.0,,,,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,
2146,q21,GME Questions,I am satisfied with the mentoring I receive.,51.0,,,,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,
2147,q22,GME Questions,The curriculum is of high educational value.,66.0,,,,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,
2148,q23,GME Questions,Faculty in my program are effective teachers.,76.0,,,,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,
2149,q24,GME Questions,I am satisfied with the feedback I have received.,46.0,,,,7.0,score,20201201,PPMC,er-staff,physician-resident-fellow-attending,summary,20200901,
2475,q00,Improvement Readiness,"In this work setting, the learning environment effectively fixes defects to improve the quality of what we do.",68.0,56.0,56.0,24.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,-12.0
2476,q01,Improvement Readiness,"In this work setting, the learning environment allows us to pause and reflect on what we do well.",65.0,43.0,50.0,19.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,-15.0
2477,q02,Local Leadership,"In this work setting, local management regularly makes time to provide positive feedback to me about how I am doing.",65.0,54.0,25.0,3.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,-40.0
2478,q03,Local Leadership,"In this work setting, local management regularly makes time to pause and reflect with me about my work.",61.0,49.0,33.0,7.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,-28.0
2479,q04,Burnout Climate,People in this work setting are burned out from their work.,19.0,12.0,11.0,3.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,-8.0
2480,q05,Personal Burnout,I feel burned out from my work.,32.0,4.0,22.0,11.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,-10.0
2481,q06,Emotional Thriving,I have a chance to use my strengths every day at work.,75.0,,63.0,,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,-12.0
2482,q07,Teamwork,"In this work setting, it is difficult to speak up if I perceive a problem with patient care.",68.0,68.0,56.0,23.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,-12.0
2483,q08,Teamwork,Dealing with difficult colleagues is consistently a challenging part of my job.,53.0,78.0,67.0,84.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,14.0
2484,q09,Teamwork,Communication breakdowns are common when this work setting interacts with other work settings.,46.0,85.0,33.0,37.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,-13.0
2485,q10,Safety Climate,I would feel safe being treated here as a patient.,81.0,83.0,78.0,49.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,-3.0
2486,q11,Safety Climate,"In this work setting, it is difficult to discuss errors.",65.0,76.0,67.0,60.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,2.0
2487,q12,Safety Climate,The values of facility leadership are the same values that people in this work setting think are important.,57.0,59.0,56.0,48.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,-1.0
2488,q13,Growth Opportunities,"With respect to the growth opportunities in this work setting, I have the feeling that I can achieve something.",66.0,23.0,56.0,17.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,-10.0
2489,q14,Job Certainty,"With respect to job-related uncertainty about the future in this work setting, I feel certain that I will keep my current job in the next year.",81.0,87.0,89.0,81.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,8.0
2490,q15,Decision Making,With respect to the participation in decision making that I experience here I have a direct influence on my organization's decisions.,40.0,79.0,22.0,25.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,-18.0
2491,q16,Advancement,With respect to advancement in this organization I have opportunities to advance through training courses.,62.0,99.0,56.0,78.0,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,-6.0
2492,q17,Physical Safety,I feel safe from crime or violence in my (daily) workspace.,75.0,,56.0,,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,-19.0
2493,q18,GME Questions,Faculty in my program participates in educational conferences.,69.0,,,,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,
2494,q19,GME Questions,I feel comfortable speaking up if I am feeling tired while on duty.,25.0,,,,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,
2495,q20,GME Questions,My Program Director is an effective leader.,64.0,,,,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,
2496,q21,GME Questions,I am satisfied with the mentoring I receive.,51.0,,,,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,
2497,q22,GME Questions,The curriculum is of high educational value.,66.0,,,,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,
2498,q23,GME Questions,Faculty in my program are effective teachers.,76.0,,,,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,
2499,q24,GME Questions,I am satisfied with the feedback I have received.,46.0,,,,9.0,score,20201201,PPMC,er-staff,remainder,summary,20200901,
