,response_id,action,feeling
184,resp_0184,advocating,hope_trust_belonging
185,resp_0185,advocating,hope_trust_belonging
186,resp_0186,advocating,hope_trust_belonging
187,resp_0187,advocating,hope_trust_belonging
188,resp_0188,advocating,hope_trust_belonging
189,resp_0189,advocating,hope_trust_belonging
190,resp_0190,advocating,hope_trust_belonging
191,resp_0191,advocating,hope_trust_belonging
192,resp_0192,advocating,hope_trust_belonging
193,resp_0193,taking_action,hope_trust_belonging
194,resp_0194,taking_action,hope_trust_belonging
195,resp_0195,taking_action,hope_trust_belonging
196,resp_0196,taking_action,hope_trust_belonging
197,resp_0197,taking_action,hope_trust_belonging
198,resp_0198,taking_action,hope_trust_belonging
199,resp_0199,taking_action,hope_trust_belonging
200,resp_0200,taking_action,hope_trust_belonging
201,resp_0201,taking_action,hope_trust_belonging
202,resp_0202,taking_action,hope_trust_belonging
203,resp_0203,taking_action,hope_trust_belonging
204,resp_0204,taking_action,hope_trust_belonging
205,resp_0205,taking_action,hope_trust_belonging
206,resp_0206,taking_action,hope_trust_belonging
207,resp_0207,taking_action,hope_trust_belonging
208,resp_0208,taking_action,hope_trust_belonging
