,response_id,advocating,all,communicating,engaging,taking_action,hope,trust,belonging
86,resp_0086,1,0,0,0,0,1,1,0
87,resp_0087,1,0,0,0,0,1,1,0
88,resp_0088,1,0,0,0,0,1,1,0
89,resp_0089,1,0,0,0,0,1,1,0
90,resp_0090,1,0,0,0,0,1,1,0
91,resp_0091,1,0,0,0,0,1,1,0
92,resp_0092,1,0,0,0,0,1,1,0
93,resp_0093,0,0,0,0,1,1,1,0
94,resp_0094,0,0,0,0,1,1,1,0
95,resp_0095,0,0,0,0,1,1,1,0
96,resp_0096,0,0,0,0,1,1,1,0
97,resp_0097,0,0,0,0,1,1,1,0
98,resp_0098,0,0,0,0,1,1,1,0
99,resp_0099,0,0,0,0,1,1,1,0
100,resp_0100,0,0,0,0,1,1,1,0
101,resp_0101,0,0,0,0,1,1,1,0
102,resp_0102,0,0,0,0,1,1,1,0
103,resp_0103,0,0,0,0,1,1,1,0
104,resp_0104,0,0,0,0,1,1,1,0
105,resp_0105,0,0,0,0,1,1,1,0
106,resp_0106,0,0,1,0,0,1,0,1
107,resp_0107,0,0,1,0,0,1,0,1
108,resp_0108,0,0,1,0,0,1,0,1
109,resp_0109,0,0,1,0,0,1,0,1
110,resp_0110,0,0,0,1,0,1,0,1
111,resp_0111,0,0,0,1,0,1,0,1
112,resp_0112,0,0,0,1,0,1,0,1
113,resp_0113,0,0,0,1,0,1,0,1
114,resp_0114,0,0,0,1,0,1,0,1
115,resp_0115,1,0,0,0,0,1,0,1
116,resp_0116,1,0,0,0,0,1,0,1
117,resp_0117,1,0,0,0,0,1,0,1
118,resp_0118,1,0,0,0,0,1,0,1
119,resp_0119,1,0,0,0,0,1,0,1
120,resp_0120,1,0,0,0,0,1,0,1
121,resp_0121,0,0,0,0,1,1,0,1
122,resp_0122,0,0,0,0,1,1,0,1
123,resp_0123,0,0,0,0,1,1,0,1
124,resp_0124,0,1,0,0,0,0,1,1
125,resp_0125,0,0,1,0,0,0,1,1
126,resp_0126,0,0,1,0,0,0,1,1
127,resp_0127,0,0,1,0,0,0,1,1
128,resp_0128,0,0,0,1,0,0,1,1
129,resp_0129,0,0,0,1,0,0,1,1
130,resp_0130,0,0,0,1,0,0,1,1
131,resp_0131,0,0,0,1,0,0,1,1
132,resp_0132,0,0,0,1,0,0,1,1
133,resp_0133,0,0,0,1,0,0,1,1
134,resp_0134,1,0,0,0,0,0,1,1
135,resp_0135,1,0,0,0,0,0,1,1
136,resp_0136,0,0,0,0,1,0,1,1
137,resp_0137,0,0,0,0,1,0,1,1
138,resp_0138,0,0,0,0,1,0,1,1
139,resp_0139,0,0,0,0,1,0,1,1
140,resp_0140,0,0,0,0,1,0,1,1
141,resp_0141,0,0,0,0,1,0,1,1
142,resp_0142,0,0,0,0,1,0,1,1
143,resp_0143,0,0,0,0,1,0,1,1
144,resp_0144,0,0,0,0,1,0,1,1
145,resp_0145,0,1,0,0,0,1,1,1
146,resp_0146,0,1,0,0,0,1,1,1
147,resp_0147,0,1,0,0,0,1,1,1
148,resp_0148,0,1,0,0,0,1,1,1
149,resp_0149,0,1,0,0,0,1,1,1
150,resp_0150,0,1,0,0,0,1,1,1
151,resp_0151,0,1,0,0,0,1,1,1
152,resp_0152,0,1,0,0,0,1,1,1
153,resp_0153,0,1,0,0,0,1,1,1
154,resp_0154,0,1,0,0,0,1,1,1
155,resp_0155,0,1,0,0,0,1,1,1
156,resp_0156,0,1,0,0,0,1,1,1
157,resp_0157,0,1,0,0,0,1,1,1
158,resp_0158,0,1,0,0,0,1,1,1
159,resp_0159,0,1,0,0,0,1,1,1
160,resp_0160,0,1,0,0,0,1,1,1
161,resp_0161,0,1,0,0,0,1,1,1
162,resp_0162,0,1,0,0,0,1,1,1
163,resp_0163,0,0,1,0,0,1,1,1
164,resp_0164,0,0,1,0,0,1,1,1
165,resp_0165,0,0,1,0,0,1,1,1
166,resp_0166,0,0,1,0,0,1,1,1
167,resp_0167,0,0,1,0,0,1,1,1
168,resp_0168,0,0,1,0,0,1,1,1
169,resp_0169,0,0,1,0,0,1,1,1
170,resp_0170,0,0,1,0,0,1,1,1
171,resp_0171,0,0,1,0,0,1,1,1
172,resp_0172,0,0,0,1,0,1,1,1
173,resp_0173,0,0,0,1,0,1,1,1
174,resp_0174,0,0,0,1,0,1,1,1
175,resp_0175,0,0,0,1,0,1,1,1
176,resp_0176,0,0,0,1,0,1,1,1
177,resp_0177,0,0,0,1,0,1,1,1
178,resp_0178,0,0,0,1,0,1,1,1
179,resp_0179,0,0,0,1,0,1,1,1
180,resp_0180,1,0,0,0,0,1,1,1
181,resp_0181,1,0,0,0,0,1,1,1
182,resp_0182,1,0,0,0,0,1,1,1
183,resp_0183,1,0,0,0,0,1,1,1
184,resp_0184,1,0,0,0,0,1,1,1
185,resp_0185,1,0,0,0,0,1,1,1
186,resp_0186,1,0,0,0,0,1,1,1
187,resp_0187,1,0,0,0,0,1,1,1
188,resp_0188,1,0,0,0,0,1,1,1
189,resp_0189,1,0,0,0,0,1,1,1
190,resp_0190,1,0,0,0,0,1,1,1
191,resp_0191,1,0,0,0,0,1,1,1
192,resp_0192,1,0,0,0,0,1,1,1
193,resp_0193,0,0,0,0,1,1,1,1
194,resp_0194,0,0,0,0,1,1,1,1
195,resp_0195,0,0,0,0,1,1,1,1
196,resp_0196,0,0,0,0,1,1,1,1
197,resp_0197,0,0,0,0,1,1,1,1
198,resp_0198,0,0,0,0,1,1,1,1
199,resp_0199,0,0,0,0,1,1,1,1
200,resp_0200,0,0,0,0,1,1,1,1
201,resp_0201,0,0,0,0,1,1,1,1
202,resp_0202,0,0,0,0,1,1,1,1
203,resp_0203,0,0,0,0,1,1,1,1
204,resp_0204,0,0,0,0,1,1,1,1
205,resp_0205,0,0,0,0,1,1,1,1
206,resp_0206,0,0,0,0,1,1,1,1
207,resp_0207,0,0,0,0,1,1,1,1
208,resp_0208,0,0,0,0,1,1,1,1
