,response_id,advocating,all,communicating,engaging,taking_action,belonging,hope,hope_belonging,hope_trust,hope_trust_belonging,trust,trust_belonging
183,resp_0183,1,0,0,0,0,0,0,0,0,1,0,0
184,resp_0184,1,0,0,0,0,0,0,0,0,1,0,0
185,resp_0185,1,0,0,0,0,0,0,0,0,1,0,0
186,resp_0186,1,0,0,0,0,0,0,0,0,1,0,0
187,resp_0187,1,0,0,0,0,0,0,0,0,1,0,0
188,resp_0188,1,0,0,0,0,0,0,0,0,1,0,0
189,resp_0189,1,0,0,0,0,0,0,0,0,1,0,0
190,resp_0190,1,0,0,0,0,0,0,0,0,1,0,0
191,resp_0191,1,0,0,0,0,0,0,0,0,1,0,0
192,resp_0192,1,0,0,0,0,0,0,0,0,1,0,0
193,resp_0193,0,0,0,0,1,0,0,0,0,1,0,0
194,resp_0194,0,0,0,0,1,0,0,0,0,1,0,0
195,resp_0195,0,0,0,0,1,0,0,0,0,1,0,0
196,resp_0196,0,0,0,0,1,0,0,0,0,1,0,0
197,resp_0197,0,0,0,0,1,0,0,0,0,1,0,0
198,resp_0198,0,0,0,0,1,0,0,0,0,1,0,0
199,resp_0199,0,0,0,0,1,0,0,0,0,1,0,0
200,resp_0200,0,0,0,0,1,0,0,0,0,1,0,0
201,resp_0201,0,0,0,0,1,0,0,0,0,1,0,0
202,resp_0202,0,0,0,0,1,0,0,0,0,1,0,0
203,resp_0203,0,0,0,0,1,0,0,0,0,1,0,0
204,resp_0204,0,0,0,0,1,0,0,0,0,1,0,0
205,resp_0205,0,0,0,0,1,0,0,0,0,1,0,0
206,resp_0206,0,0,0,0,1,0,0,0,0,1,0,0
207,resp_0207,0,0,0,0,1,0,0,0,0,1,0,0
208,resp_0208,0,0,0,0,1,0,0,0,0,1,0,0
